adsorbent,PLD,LCD,SA
ACUFEK_clean_DDEC.cif,8.41,15.04,3820.79
ACUTOI_clean_DDEC.cif,4.25,4.81,215.0
AHOLAM.Non-disordered_MOF_subset_DDEC.cif,5.02,9.46,907.34
AHORAR.MOF_subset_DDEC.cif,4.65,6.58,1310.9
AHOZII.Non-disordered_MOF_subset_DDEC.cif,5.85,6.89,961.81
ALAMUW_clean_DDEC.cif,6.18,11.57,3391.66
BAKJEE_clean_DDEC.cif,4.99,6.16,1760.4
BAKJOO_clean_DDEC.cif,5.61,7.48,1233.39
BIDPOV_clean_DDEC.cif,6.39,11.16,3240.49
BIYTEJ.Non-disordered_MOF_subset_DDEC.cif,5.96,6.21,517.25
BOVHEB_clean_DDEC.cif,3.97,5.45,344.49
BOYCEY_auto_DDEC.cif,6.87,12.06,3251.8
BUBJUF.Non-disordered_MOF_subset_DDEC.cif,3.78,5.04,235.01
BUKMUQ_freeONLY_DDEC.cif,3.96,4.57,148.98
BUSQIQ_clean_DDEC.cif,3.75,4.25,71.64
BUYDAC.Non-disordered_MOF_subset_DDEC.cif,3.47,6.06,659.57
BUYDEG.Non-disordered_MOF_subset_DDEC.cif,3.49,6.09,601.3
CENPUI_clean_DDEC.cif,3.74,6.11,505.97
CIFMAH_clean_DDEC.cif,8.78,10.19,2061.45
CIFMEL_clean_DDEC.cif,5.5,8.24,3366.75
CIFMIP_clean_DDEC.cif,6.3,7.87,1195.06
CIJBEE.Non-disordered_MOF_subset_DDEC.cif,4.34,6.45,688.2
COJHIT_clean_DDEC.cif,9.13,9.89,2105.22
COZMUA_clean_DDEC.cif,5.11,10.06,2843.12
CUYWUP_clean_DDEC.cif,4.25,7.25,867.5
DEYVUA.Non-disordered_MOF_subset_DDEC.cif,4.18,5.04,852.17
DOKDEN_clean_DDEC.cif,12.82,14.76,2029.6
DOZCEC_clean_DDEC.cif,11.71,18.64,3973.79
DUBXOP.MOF_subset_DDEC.cif,3.65,4.41,71.34
EBEWOZ01.Non-disordered_MOF_subset_DDEC.cif,6.36,6.74,729.99
ECASOS_clean_DDEC.cif,2.52,3.04,0.0
ECOLEP_clean_DDEC.cif,11.29,12.2,4387.59
EFESEP_clean_DDEC.cif,5.74,9.9,1216.6
EQERAU_clean_DDEC.cif,4.83,8.23,1649.39
EQETAX_clean_DDEC.cif,4.83,5.89,1168.26
EWUCOP_clean_DDEC.cif,3.39,4.28,91.19
FANWOI.MOF_subset_DDEC.cif,8.1,9.36,1026.61
FECXAO_clean_DDEC.cif,4.36,5.65,1013.29
FECXES_clean_DDEC.cif,6.16,10.51,2013.23
FECYUJ_clean_DDEC.cif,5.01,9.44,1662.21
FECZAQ_manual_DDEC.cif,4.86,8.3,1322.81
FIDRIV_clean_DDEC.cif,16.08,16.31,1694.97
FOTNIN_clean_DDEC.cif,29.64,37.6,2941.45
FUFBEP.Non-disordered_MOF_subset_DDEC.cif,0.87,1.74,0.0
FULYIW.MOF_subset_DDEC.cif,3.53,4.7,86.31
GEBCAT_clean_DDEC.cif,3.83,7.42,526.27
GEGDED_clean_DDEC.cif,6.15,10.5,1986.63
GERNOI_clean_DDEC.cif,3.47,6.74,545.46
GIYJAB.Non-disordered_MOF_subset_DDEC.cif,5.0,6.87,1103.14
HANWAW_clean_DDEC.cif,4.76,10.99,1841.92
HEXVEM_clean_DDEC.cif,15.62,27.9,5603.75
HIYGIH_clean_DDEC.cif,7.54,16.81,2230.45
HUDWUA_clean_DDEC.cif,3.92,5.54,593.36
HUJGEA_clean_DDEC.cif,4.4,12.06,1923.25
ISOJOQ.Non-disordered_MOF_subset_DDEC.cif,3.71,5.62,606.1
IYOWID_manual_DDEC.cif,7.24,19.85,4500.88
JAMSIC.Non-disordered_MOF_subset_DDEC.cif,4.81,6.24,449.6
JAMSOI.Non-disordered_MOF_subset_DDEC.cif,4.54,5.98,354.22
KACZEV_clean_DDEC.cif,5.14,9.57,2973.49
KACZIZ_clean_DDEC.cif,5.04,8.7,2803.96
KAFTUI_clean_DDEC.cif,3.05,4.98,33.8
KANMIX_clean_DDEC.cif,3.73,9.44,984.74
KEDQAN_clean_DDEC.cif,4.36,6.07,349.68
KEQJEX.Non-disordered_MOF_subset_DDEC.cif,3.61,4.46,158.1
KETHEY02_clean_DDEC.cif,3.43,5.01,157.32
KIDVIE_clean_DDEC.cif,3.99,5.92,499.08
